Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars)
"Darlington County, South Carolina",26117,467,9.3,1.5,8,1.5,17.6,2,13.3,1.5,12.6,1.6,15.1,1.6,9.4,1.4,7.7,1.4,4.6,1.2,2.5,0.7,37141,2674,56131,2680
"Dillon County, South Carolina",11147,355,14.1,2.5,6.8,2.1,15.5,2.6,12.4,2.1,15,2.7,13.6,2.2,10.5,2.4,9.4,2.1,1.7,0.9,1,0.4,36429,3245,50278,3130
"Dorchester County, South Carolina",56939,545,4.7,0.8,4,0.9,7.8,0.9,8.2,1,13.3,1.3,20.2,1.5,13.5,1.3,17.3,1.5,6.7,0.8,4.2,0.6,63501,2123,79537,1911
"Edgefield County, South Carolina",9171,333,6,1.4,9,2.2,12.6,2.4,9,1.9,12,2.2,13,2.7,12.3,2.8,16.6,3.1,6.1,1.8,3.5,1.1,52491,4943,72115,4933
"Fairfield County, South Carolina",9315,1058,12.6,3,5.5,1.9,13.2,3.5,12.7,3,11.6,2.8,15,3.5,8.9,2.7,12.4,3.1,5.8,2.9,2.4,1.4,43861,5846,62343,5295
"Florence County, South Carolina",52880,685,9.6,1.1,5.3,0.8,11.4,1.2,9.9,1.1,14.1,1.2,19.5,1.4,9.4,1,13.6,1.2,4.1,0.6,3.1,0.6,49645,2000,67315,2190
"Georgetown County, South Carolina",25758,677,7.1,1.1,4.6,0.9,11.4,1.6,10.2,1.6,14.3,2,17.1,2.3,11.3,1.6,12.9,1.2,5.1,1.1,6,1,52488,3472,79610,4665
"Greenville County, South Carolina",198015,955,5.8,0.4,3.6,0.4,7.8,0.6,10.2,0.4,12.6,0.6,18.3,0.8,13.1,0.7,15,0.6,6.7,0.6,6.9,0.5,62422,1399,87315,2075
"Greenwood County, South Carolina",27977,479,8.5,1.2,6.5,1.6,14.5,1.9,13.3,1.9,15.8,2.1,15.5,1.8,10.9,1.4,9.2,1.4,3.3,0.7,2.6,0.8,41081,2397,62824,5092
"Hampton County, South Carolina",6893,364,8.2,2.2,6,1.8,13.8,2.8,18.2,3.4,17.5,3.5,17,2.8,8.1,2.3,7.7,2.3,2.7,1.3,0.7,0.7,38178,2328,50108,2708
"Horry County, South Carolina",136219,1772,6,0.6,4.4,0.4,11,0.9,11.1,0.7,15.7,1.1,20.9,0.9,12.1,0.8,11.8,0.8,3.5,0.4,3.4,0.4,51570,1176,68366,1636
"Jasper County, South Carolina",10724,367,9.3,2.9,6.1,2.2,9,2.6,11.6,2.8,18.1,3.4,16.6,2.7,12.8,2.5,10.3,2.6,4.4,1.9,1.8,0.9,45924,3602,62914,4996
"Kershaw County, South Carolina",25293,449,9.1,1.7,4.1,0.9,11.2,1.7,10.2,1.3,10.8,1.2,22.2,2.2,12.7,1.7,13.7,1.7,3.2,0.8,2.8,0.7,53980,1870,65336,2541
"Lancaster County, South Carolina",35228,565,5.1,1.2,5.6,1,10.2,1.4,8.1,1.2,10.1,1.4,17.3,1.7,14,1.8,16.5,1.9,5.9,1.4,7.2,1.9,65421,3623,85011,4384
"Laurens County, South Carolina",25555,555,8.8,1.5,6.6,1.3,12.1,1.5,10.9,1.5,17.2,1.6,18.7,1.8,11.2,1.4,9.9,1.4,2.5,0.8,2,0.5,44374,1915,59585,2721
"Lee County, South Carolina",6455,227,13.6,3.2,11,3.2,16.5,3.4,12.1,3.1,14.2,2.9,13.7,2.9,7.6,2.3,7.5,2.1,1.1,0.7,2.7,1.2,32851,3881,48842,4121
"Lexington County, South Carolina",115220,748,5.3,0.6,3.9,0.4,8.1,0.6,9,0.7,13.2,0.7,19.2,0.9,14.3,0.9,15.6,0.8,6.2,0.6,5.2,0.4,62740,1312,80989,1505
"McCormick County, South Carolina",3984,203,10.1,2.8,3.9,1.8,10,3,13.3,3.9,14,3.3,19.6,3.5,16.5,3.6,8.5,2.3,1.6,0.9,2.6,1.1,47402,7154,61876,6770
"Marion County, South Carolina",11282,449,16.6,2.8,8.1,2.1,15.1,3.2,13.6,2.2,15,3,13.2,2.3,8.9,2,6.4,1.8,2.7,1.4,0.5,0.4,30791,3822,45750,3764
"Marlboro County, South Carolina",9384,438,17.1,3.4,9.2,2.8,15.6,2.3,11.6,2.4,14,2.7,15.8,2.5,10.2,2.3,4.9,1.6,1.2,0.6,0.3,0.2,31528,3889,41603,2731
"Newberry County, South Carolina",14976,418,8.7,1.8,5,1.4,13.1,2.5,12.8,2.2,14.3,2.2,18.1,2,10.9,1.7,11.4,1.8,3.1,0.7,2.6,0.9,46038,2700,63784,3817
"Oconee County, South Carolina",32440,604,6.7,1.2,6.5,1.3,11.8,1.5,11,1.5,14.3,1.7,18.2,1.8,10.2,1.4,12.5,1.5,4.2,0.7,4.6,1,49691,2068,73240,4801
"Orangeburg County, South Carolina",33629,669,14.9,1.7,8.2,1.3,12.1,1.5,13.1,1.6,15.4,1.8,15.4,1.5,9.5,1.4,7.8,1.3,2.1,0.5,1.6,0.5,36802,2453,51250,3092
"Pickens County, South Carolina",48522,755,8,1.2,5.2,0.8,10.9,1.4,9.8,1.1,14.8,1.2,17.7,1.5,12,1.5,14,1.5,3.9,0.6,3.7,1,51032,1710,71724,6174
"Richland County, South Carolina",155478,1288,9.1,0.7,4.2,0.4,8.8,0.8,10.4,0.8,13.4,0.9,17.7,0.8,12.4,0.7,12.8,0.6,6.1,0.6,5.2,0.5,54441,1536,77257,1910
"Saluda County, South Carolina",7360,239,8.1,2.2,6.3,2.1,11,3,11.8,2.7,18.3,3.5,18.1,2.7,13,2.8,9.1,2.2,3.4,1.5,1.1,0.7,43410,3187,59924,5089
"Spartanburg County, South Carolina",118788,1117,7.5,0.8,4.7,0.4,10.1,0.8,9.9,0.6,14.3,1,19.5,1.1,13.9,0.9,11.9,0.7,4.2,0.4,3.9,0.4,53757,1267,70899,1549
"Sumter County, South Carolina",41704,644,10,1.3,5.2,0.9,12.4,1.7,10.7,1.2,14.9,1.5,20,1.6,10.5,1.3,9.4,1.2,4.8,1.1,2.2,0.5,46570,2505,60954,2357
"Union County, South Carolina",11707,301,8,1.7,8.3,1.8,16.4,2.5,11.5,1.9,14.3,2.2,21.3,2.4,8.9,1.8,7.9,1.6,2.3,0.8,1,0.5,41117,2718,55181,5298
"Williamsburg County, South Carolina",12705,380,19.4,2.9,7.9,1.6,11.3,1.9,10.9,2.2,14.4,2.5,15.7,2,10.3,2.2,6.3,1.4,2.9,1.1,1,0.6,35681,3856,47502,2866
"York County, South Carolina",103582,674,4.5,0.6,3.5,0.5,7,0.6,8.8,0.7,12.1,0.8,17.7,1,13.3,0.7,17.4,1,7.7,0.6,7.9,0.6,68555,2412,90946,2326
"Aurora County, South Dakota",1124,114,1.2,1,1.8,0.9,10.7,3.5,9.9,3,10.1,3.7,23.7,4.8,18.6,4,15,3.4,3.3,1.6,5.8,2.4,65132,5781,86197,10023
"Beadle County, South Dakota",7684,191,6.4,2,2.4,1.1,9,1.9,13.7,3,15.5,3,21.7,3.2,13.3,2.5,12.4,2,2.3,0.8,3.3,1.3,53461,3114,67235,3904
"Bennett County, South Dakota",1036,89,12.7,4.9,5.9,3.1,8.2,3.7,13,4,17.9,5.2,20.7,5.1,10.2,3.5,7.1,3.4,1.1,1.1,3.2,3,41887,3686,54950,7537
"Bon Homme County, South Dakota",2556,126,7.1,2.8,5.6,1.6,11.3,2.7,11.8,2.9,14.1,2.8,18.8,3.3,13.1,2.3,11.1,2.1,4.3,1.8,2.9,1.2,50195,5449,64294,4416
"Brookings County, South Dakota",13364,314,4.8,1.4,4.4,1.4,8.2,2.1,8,1.8,16.3,2.8,20,2.1,14.6,2.1,16.5,2.2,4.7,1.2,2.6,0.8,57471,4317,73068,3720
"Brown County, South Dakota",16245,361,4.6,1.3,3.6,1.3,9.8,1.9,9.4,1.9,12.7,1.8,19.5,2.4,15.2,2.1,14.9,1.6,5.5,1.3,4.9,1.5,61816,4034,80631,5402
"Brule County, South Dakota",2228,141,5.3,2.2,4,1.9,8.9,3.7,9.1,3.1,14.8,4.4,21.2,4.3,12.8,3.8,14,3.6,2.3,1.5,7.7,2.8,57181,5989,82600,11492
"Buffalo County, South Dakota",540,51,26.1,6.8,7.2,3.9,11.9,4.7,4.8,2.9,18,6.4,15.9,6.5,12.2,4.3,1.1,1.1,2.6,2.1,0.2,0.4,35000,6507,39622,4976
"Butte County, South Dakota",4179,197,3.2,1.3,4.4,2.4,14.5,3.5,9.8,4.1,19.4,4.9,19.2,4.4,9.7,3.2,12.9,3.3,3.8,2.2,3.2,2,49353,3222,69683,9355
"Campbell County, South Dakota",699,64,3.1,1.7,4.6,3,7.9,3.3,14,4.2,16.2,4.8,16.9,5.2,11.7,5,20.6,5.7,2.7,1.6,2.3,1.4,54228,6183,69114,6760
"Charles Mix County, South Dakota",3149,86,7.1,1.4,6.3,2.8,12.2,2.4,10.5,2,12.7,2.1,20.4,2.6,13.8,2.5,10.6,1.9,3.5,1.2,3,1,52348,4053,65719,3832
"Clark County, South Dakota",1584,67,5.2,2.4,4.1,1.7,11.4,3.4,13.1,3.8,14.9,3.8,21.4,4,11.7,4,11.3,3,3.4,2,3.5,1.6,50709,3170,74917,11589
"Clay County, South Dakota",5259,273,9,2.6,4.5,2.2,13.7,4,10.3,2.8,11.2,3.1,16.1,3.9,13.4,3.2,10.7,2.3,5.9,1.9,5.2,2,51447,7268,79915,14269
"Codington County, South Dakota",12090,295,5.5,1.6,5.7,1.6,9.5,1.8,9.3,2,14.9,2.7,19.4,2.8,14.8,2.5,13.3,1.9,4,1.3,3.6,1.2,57885,5177,70396,4209
"Corson County, South Dakota",1205,41,17,2.5,8.5,2,11.8,2.5,10.9,2.3,11.9,2.4,16.3,2.9,9.1,2.2,11,2.2,1.8,1,1.8,0.9,36705,3203,54240,4949
"Custer County, South Dakota",3893,265,5.3,2,2.7,1.3,8.3,2.5,8.9,2.9,11.8,3.6,21.7,4.2,13.4,3.7,17.2,3.8,7.3,2.6,3.3,1.8,64556,7636,79148,7529
"Davison County, South Dakota",8651,260,5.8,1.8,6.6,2.3,9.2,2.5,13.1,3.6,17.8,3.2,13.2,2.3,12.5,2.7,14.3,2.8,4.7,1.8,2.9,1.1,48267,3234,68804,5382
"Day County, South Dakota",2568,92,5.1,1.9,7.6,1.9,10.8,2.9,11.3,2.8,17.9,3.4,17.4,3.1,12,2.4,14.6,2.9,1.6,0.9,1.6,0.7,46753,3067,63373,5559
"Deuel County, South Dakota",1777,97,3.2,1.3,3.4,1.4,7.3,2.3,8.3,2.5,11.1,2.7,25.8,4.6,15.4,3.6,18.1,3.8,5.6,2.5,1.9,1,67396,5643,74898,4388
"Dewey County, South Dakota",1731,63,9.4,2.4,7.5,2.1,11.6,2.5,9.7,2.1,16.8,2.9,21,3.1,8.7,2.1,10.2,2.2,3.6,1.6,1.5,0.8,45859,3362,57039,4156
"Douglas County, South Dakota",1203,66,5.7,2.4,4.9,3.1,12.6,5.9,8,2.6,10.6,3.1,19.1,4.9,14.7,3.4,18.8,4.1,2.9,1.8,2.6,1.3,61793,7076,76306,10435
"Edmunds County, South Dakota",1550,85,2.2,1.2,6.3,4,7,2.7,9,3.1,13.6,3.4,18,4.5,16.4,4.5,17.9,3.6,5.1,2.7,4.5,1.8,64896,11005,84918,7742
"Fall River County, South Dakota",3138,188,8.5,4.8,8.6,4.7,9,3.7,10.8,3.4,12.3,3.8,17.8,4.9,12,4.1,16.5,4.7,4.3,2.5,0.3,0.3,51383,10729,61139,6039
"Faulk County, South Dakota",920,87,8.3,4.9,3.9,1.8,12.2,4.1,10.8,5.2,15.5,5.7,16.4,4.2,14.9,4.4,14.2,4.6,3,1.8,0.8,0.8,49423,9310,60880,5680
"Grant County, South Dakota",3148,185,3.5,1.8,5.1,2.3,7.2,3.3,11.1,3,13.5,3.7,19.5,3.5,18.2,3.4,9,2.4,6.8,2.7,6.1,2.7,65327,5744,79072,6856
"Gregory County, South Dakota",1832,79,7.2,2.4,6.8,2,12.9,2.9,13.1,2.6,12.6,2.6,17.4,3,13.9,2.7,9.8,2.8,3.7,1.8,2.7,1.6,44706,5913,62061,4855
"Haakon County, South Dakota",758,67,15.8,9.2,8.2,5.2,11.1,4.4,9.5,4.7,16.6,6.5,10.3,4.7,5.9,3,13.5,5.8,2.9,2.2,6.2,3.7,40673,6255,59886,8936
"Hamlin County, South Dakota",2242,128,2,1,2.5,1.2,6.2,1.5,8.5,2.3,11.3,2.2,28.1,3.6,18.8,3.1,15.9,2.9,4.6,1.6,2.1,1.3,67626,3416,76677,4910
"Hand County, South Dakota",1426,91,2.9,1.5,9.1,3.1,8.1,2.5,12,3.6,12.3,3.4,16.8,3.5,13.4,3.8,16.8,4.7,3.8,2.2,4.8,2.9,58333,6746,73692,8187
"Hanson County, South Dakota",1039,54,2.4,1.4,3,2.1,8.7,2.6,8.8,2.9,17.7,4,16.2,3.2,15.3,3.1,19.3,4.2,5.3,2.3,3.4,2,63750,8303,76477,6330
"Harding County, South Dakota",516,61,1,0.9,3.7,3,4.1,2.3,6,3.6,14.5,5,31.6,7.7,20,7,12.8,4.2,5.2,2.9,1.2,1.2,61111,5356,77868,8966
"Hughes County, South Dakota",7475,222,3,1.3,3.3,1.5,7.5,1.9,12.1,2.9,10.4,2.2,17.2,2.8,18.3,3.5,18.7,3.1,6.5,2.1,3,1.3,69575,5253,79902,4341
"Hutchinson County, South Dakota",2977,93,4.8,1.7,4.3,1.4,7.8,1.6,7.7,1.8,14,2.6,22.2,2.9,17.5,2.9,13.7,2.3,3.7,1.2,4.3,1.7,61290,3110,75408,5542
"Hyde County, South Dakota",616,58,2.4,2.2,3.6,2.7,7.3,5,8.4,4.9,16.6,6.7,23.2,6.9,13.8,4.3,17.9,5.2,4.1,2.1,2.8,2.2,59844,7650,76408,9580
"Jackson County, South Dakota",815,87,25.3,6.5,7,3,18.5,6.8,8.6,3.8,14.4,5.1,11.9,5.6,7.6,3.9,4.5,2.8,0.2,0.5,2,2.4,24549,6842,38920,6233
"Jerauld County, South Dakota",940,60,5.3,3.3,4.8,2.7,8.7,3.3,11.4,4.6,20.3,5.5,14.7,5,13.1,5.1,13.8,5.5,3.1,2.5,4.8,2.8,49265,6276,90089,27631
"Jones County, South Dakota",419,50,7.2,5.6,3.1,2.1,9.8,6.2,14.8,7.3,22.4,11.4,18.6,8.4,13.1,6.6,9.1,4.9,1,1,1,1.1,46688,3593,55413,7084
"Kingsbury County, South Dakota",2172,95,7,2.2,4.9,2.1,7.2,2,8.3,2.6,13.1,3.1,20.6,3.3,17.7,2.8,13,2.6,4,1.4,4.1,1.3,61316,4441,77068,6081
"Lake County, South Dakota",4712,187,4,2.3,7.8,3.2,7.7,2.4,4.1,1.9,11.4,2.6,22.6,3.8,16.4,3.5,17.3,2.8,4.3,2.1,4.5,1.6,63165,5600,80068,5850
"Lawrence County, South Dakota",11250,370,5.5,1.8,4.8,1.5,10.8,2.4,10,2.2,16.5,2.9,17.2,2.4,12.8,2.2,13.2,2,4.6,1.1,4.6,1.4,52146,3000,77555,6530
"Lincoln County, South Dakota",20341,224,2.8,1,1.2,0.6,4.4,1,8.6,1.6,9,1.5,17.4,2,16.2,1.8,22.9,2.4,8.2,1.4,9.2,1.3,84260,3003,106930,4569
"Lyman County, South Dakota",1393,79,6.7,1.9,4.8,2,9.8,3.7,7.3,2.1,15.7,3.6,26.3,4.3,13.4,3.7,11.1,3.3,3.1,1.5,1.9,1.3,54484,4274,63099,4912
"McCook County, South Dakota",2206,148,3.9,1.9,2.4,1.1,7.1,2.5,8.7,2.1,11.6,2.4,23,3.2,22.2,4.5,11.4,1.9,4.1,1.2,5.5,2.3,66208,4261,79227,5623
"McPherson County, South Dakota",996,85,7.4,3.4,3.2,2.1,18.6,5,9.7,3.7,9.4,3.1,17.7,4.7,11.6,3.3,13.2,3.7,4.6,3.1,4.5,2.7,51379,9364,71402,10552
"Marshall County, South Dakota",1898,109,3.7,1.9,1.9,1.2,6,2.3,10.1,3.5,12,3.1,21.4,4.2,17.6,4.4,16.3,3.5,5.4,2,5.4,3,68056,8014,87678,11806
"Meade County, South Dakota",11142,248,3.9,1.3,3.8,1.5,8.1,1.9,9.8,2.3,15.6,3.1,19.3,3.2,16.4,2.4,16.7,2.5,3.3,1.3,3.2,1,62275,5691,73020,3818
"Mellette County, South Dakota",675,48,19.6,5.4,9.5,4.5,11.1,4.4,11.1,4.9,15.9,6.6,6.7,3.6,17,4.3,8.1,4.1,0,3.3,1,1.3,33882,7451,45355,4365
"Miner County, South Dakota",963,65,9.4,3.8,6.4,2.9,7,3,7.8,3.3,16.6,3.8,19.6,5.5,16.1,5,10.7,3.5,3.7,2.2,2.6,2,53135,4269,64488,5895
"Minnehaha County, South Dakota",78453,669,4.4,0.5,3.3,0.5,7.8,0.9,9.9,0.9,13,0.9,19.5,1.1,15.3,0.9,16.5,0.9,6.1,0.6,4.2,0.5,63699,1644,79929,1768
"Moody County, South Dakota",2608,174,5.1,1.8,2.9,1.2,5.4,1.8,10.2,2.5,14.1,3.7,20.9,3.4,14.3,2.9,15.8,3.2,5.1,2.1,6.2,2.4,61894,5797,79037,6125
"Oglala Lakota County, South Dakota",2813,137,21.3,4.6,7.9,3.6,10.4,3.7,14.2,4.3,13,4.3,16.1,4.5,6.8,3,5.4,3,1.6,1.4,3.3,1.9,31423,4847,47080,6368
"Pennington County, South Dakota",43947,644,5.3,0.8,3.9,0.7,9.6,1,10.2,1.2,13.7,1.6,19.6,1.5,13.8,1.2,13.9,1.1,4.9,0.8,5.1,0.8,58278,2401,79448,3082
"Perkins County, South Dakota",1329,91,2.6,1.1,4.5,2.1,11.1,4.1,10,3.1,9.8,3.1,24.2,4.8,16.7,4.9,12.3,3.7,3.5,1.8,5.2,2.3,61815,5586,73775,5440
"Potter County, South Dakota",997,85,4.7,3.3,3.1,1.9,7.3,2.4,14.9,4.3,16.4,4.5,20.5,4.6,10.8,3.1,11.7,3.4,8.2,3.2,2.2,1.1,57120,7934,70853,6367
"Roberts County, South Dakota",3889,113,6.6,1.7,6.1,1.7,10.9,2,10.1,2,15.4,2.3,21.2,2.8,12.2,2,9.9,1.7,5.3,1.5,2.3,1.1,50877,2668,65794,3639
"Sanborn County, South Dakota",987,68,5.6,2.5,4.6,2.9,5.7,2,13.9,3.8,13.8,4.9,19.3,4.3,16.2,4.7,14,3.8,3.6,2,3.4,1.7,55398,6399,73369,7550
"Spink County, South Dakota",2599,101,2.8,1,4.4,1.6,6.6,2.1,9.7,2.4,15,2.8,21.9,3.2,13.5,2.6,13.9,3.5,5.2,1.8,7,1.8,62125,8790,87998,8186
"Stanley County, South Dakota",1443,95,0.3,0.5,4.3,3.2,6.7,4.4,13.7,5.3,11.7,4.5,14.7,4.2,17.3,5.5,15.7,4.4,5.8,3.5,9.8,4.9,71602,10935,96205,14287
"Sully County, South Dakota",591,64,7.6,3.8,5.9,3.4,7.3,3.1,6.8,2.9,15.4,4.7,21.8,5.6,13.5,4.3,11.2,3.7,5.2,2.8,5.2,2.7,60508,3061,87068,21234
"Todd County, South Dakota",2674,103,28.2,4.3,10,2.7,13.2,3.1,12.3,3.2,13.3,3.5,9.8,2.7,6.1,2,4.9,2.1,0.9,0.7,1.3,1,24102,3254,35962,3652
"Tripp County, South Dakota",2234,151,9.4,2.9,4,2,9.7,4,9.8,3.9,13.4,4,19.2,4.7,16.6,4.1,13.8,4,1.7,1.4,2.4,1.5,54054,7320,62077,5193
"Turner County, South Dakota",3530,97,5.7,1.5,4.4,1,8.9,1.8,10.5,1.9,10.6,2.2,20.2,2.4,17.3,2.4,14.6,2.1,4.3,1.2,3.5,1.1,63062,2302,76272,6243
"Union County, South Dakota",6864,147,5.3,1.8,2.7,1.4,6,1.7,7.9,1.7,12.8,2.7,15.8,2.7,13.4,2.7,18.5,2.6,7.8,2.3,9.8,2.7,74006,7099,102721,13152
"Walworth County, South Dakota",2263,240,3.3,2,5.1,2.5,9.9,3.5,10.7,4,19.2,4.7,18.1,4.1,12.4,4,13.8,3.8,2.9,2.5,4.5,2.5,51481,7208,79880,15365
"Yankton County, South Dakota",9558,354,3.2,1.1,4.1,1.1,7.3,1.7,10.2,2.3,15.3,3,21.3,2.8,17.5,2.6,13.2,2.4,4.1,1.3,3.9,1.4,61878,4278,78115,5331
"Ziebach County, South Dakota",775,33,13.7,3.8,9,2.8,10.2,2.6,15.1,4.3,12.3,3.4,10.2,2.5,6.6,2.6,12.3,3.9,2.6,1.6,8.1,4.1,36615,5258,62275,8438
"Anderson County, Tennessee",30886,555,6.7,1.1,5.3,1.2,10,1.2,10.9,1.7,15.3,1.5,19.2,1.8,12,1.2,12.3,1.4,4.8,0.8,3.6,0.7,52338,2045,69652,2448
"Bedford County, Tennessee",17490,394,4.6,1.3,4.7,1.4,9,1.8,11.1,2.1,16.3,2.2,21.1,2.3,14.3,2.5,11.2,1.8,4.4,0.9,3.2,0.9,52973,3039,71947,5051
"Benton County, Tennessee",6770,268,9.8,2.2,9.8,2.6,14.4,2.6,12,2.4,13.9,2.6,18.2,3,9.3,2,6.6,1.8,4.1,1.7,2.1,0.8,39019,4204,54137,3964
"Bledsoe County, Tennessee",4822,205,11.5,3.8,6.5,2.2,9.1,2.5,11.2,2.9,12.1,3.4,20.8,4.5,13.5,3.6,9.9,4,2.1,1.4,3.2,1.8,49382,7985,62227,6474
"Blount County, Tennessee",51274,785,5,0.7,3.9,0.7,8.6,0.9,9.9,1.2,14.3,1.2,19.3,1.3,14.4,1.1,15.1,1.2,5.4,0.8,4.1,0.6,60301,1964,77451,2099
"Bradley County, Tennessee",40730,477,6.1,1,6,1.1,9.6,1.3,11.8,1.5,14.8,1.4,18.8,1.6,12.4,1.4,13.7,1.3,3.8,0.7,2.9,0.8,51872,2414,67769,2680
"Campbell County, Tennessee",16461,383,9.3,1.7,8.2,1.6,12.5,1.7,11.7,1.9,15.5,1.8,16.9,2.1,12.4,1.9,9,1.8,2.9,0.8,1.5,0.7,41769,2949,57516,4084
"Cannon County, Tennessee",5579,177,10,3,4.8,1.9,10,2.8,8.9,2.2,13.5,3.1,21,2.8,14.5,3.1,9.3,2.1,5.5,2.6,2.7,1.4,52518,5657,65868,5485
"Carroll County, Tennessee",10993,327,8.8,1.9,7.8,1.7,12.7,2.1,12.7,2.1,14.1,2.2,16.7,2.1,12.4,2.1,10.4,2,3,1.5,1.4,0.7,42877,2307,58056,3773
"Carter County, Tennessee",23993,486,8.5,1.2,8.2,1.6,13.2,1.6,12.6,1.4,16.4,1.6,18.2,1.8,9.9,1.4,9.3,1.6,2.2,0.6,1.5,0.5,40820,2170,55478,2755
"Cheatham County, Tennessee",15317,296,4.2,1.1,2.5,0.8,9.3,2.1,8.3,1.5,13.1,1.6,20.4,1.9,17.4,1.9,16.8,1.8,4.9,1.1,3.1,1,63988,3076,76610,3644
"Chester County, Tennessee",5992,274,6.2,2.6,4.8,2,11.2,4.1,13,4.2,11.7,2.9,24.9,5.3,11.4,3.2,11.5,3.2,4.3,2,1,0.7,53336,5182,60399,5180
"Claiborne County, Tennessee",13561,340,12.3,2.1,7.3,1.6,13.7,1.9,12.3,1.7,16.3,2.6,18.6,2.2,7.9,1.4,6.7,1.5,2.1,0.8,2.8,1.2,37954,2137,52778,3976
"Clay County, Tennessee",3176,175,11.5,3.7,10.3,3.4,17.6,4.3,12.9,3.5,12,3.6,16.7,4.8,10,3.7,6.6,3.2,1.6,1.3,0.8,0.8,32064,6110,48517,7455
"Cocke County, Tennessee",14171,442,9.2,1.7,7.3,1.6,15.7,2.8,13,2.7,16.7,2.8,18.7,2.3,9.7,1.9,6.1,1.4,2.2,0.9,1.4,0.7,38530,3946,51652,3360
"Coffee County, Tennessee",22034,353,5.1,1.2,4.5,1,11.5,1.8,11.7,1.6,16.4,2.1,21.1,2.5,12.2,1.8,11.4,1.6,3.3,0.7,2.9,0.8,51030,3310,66065,3134
"Crockett County, Tennessee",5653,156,6.4,2.2,5.1,1.5,14.1,3.5,13.9,2.6,11.9,2,21.3,2.4,11.4,2.5,11.6,2.2,2.3,1,2.1,0.7,47581,6409,61300,3922
"Cumberland County, Tennessee",26389,532,6.7,1.2,5.5,0.9,11,1.8,11.3,1.6,16,1.8,22.3,2.2,13.6,1.9,9,1.4,2.3,0.7,2.2,0.6,49423,2610,61033,2417
"Davidson County, Tennessee",289191,1394,5.9,0.4,3.4,0.3,7.7,0.5,8.9,0.4,13.7,0.6,19.2,0.6,13.3,0.6,14.9,0.6,5.8,0.4,7.2,0.4,62515,811,89045,1440
"Decatur County, Tennessee",4637,258,6.3,1.9,10.5,2.9,13.7,2.8,15.5,3.8,14,2.8,18.5,3.6,9.1,2.2,8.2,1.9,2.6,1.6,1.6,1,40389,3659,58668,7612
"DeKalb County, Tennessee",7782,268,9.2,3.2,4.9,1.7,14.5,3,12.2,2.9,13.4,2.6,18.5,2.9,9,1.8,13.5,2.9,2.3,1.1,2.5,1.4,44389,4666,62119,5427
"Dickson County, Tennessee",19559,321,5.5,1.2,4.3,1,7.5,1.1,10.4,1.5,14.1,1.8,21.7,2.8,14.7,1.9,12.9,1.5,4.4,1.1,4.4,1.2,57804,2013,75015,4514
"Dyer County, Tennessee",15271,339,8.7,1.9,7.3,1.9,11.9,1.8,11.4,2,15.6,2.6,17.9,2.4,9.4,1.8,11.2,1.9,2.6,1,4.1,1.2,45042,3265,70060,7150
"Fayette County, Tennessee",16040,333,5.5,1,3.4,0.8,10.5,1.8,9.1,1.5,11.3,1.6,17.6,1.9,12.6,2,16.5,2.1,6.9,1.2,6.7,1.1,63618,4787,86784,4490
"Fentress County, Tennessee",7368,274,8.3,2.2,9,2.7,12.5,2.7,14.9,3,22.7,3.4,15.5,2.8,9.4,2.1,6,2.1,1,0.6,0.7,0.5,40203,4134,47422,3270
"Franklin County, Tennessee",16497,391,7.5,1.7,6.3,1.3,12,2.2,10.3,1.9,16.1,2.7,17.2,2.2,11.9,1.6,11.1,1.8,3.3,0.8,4.2,1,47777,2281,69022,4010
"Gibson County, Tennessee",19594,481,8.2,1.7,7.9,1.8,11.9,1.6,12,1.8,12.9,1.7,19,2.7,11.6,1.9,11.8,2,2,0.7,2.6,0.8,45557,3062,58772,2556
"Giles County, Tennessee",11700,345,7.3,1.6,5.6,1.2,12,1.7,10.8,2.2,14.5,2.1,19.1,2.2,11.1,2.2,13,1.6,4.8,1.7,1.8,0.9,49815,3210,64327,3776
"Grainger County, Tennessee",9147,227,7.2,1.9,7.4,1.9,12.3,2.3,11.1,2.7,17.7,3.2,19.3,3.4,12.3,2.3,8.8,1.9,2,0.8,1.8,0.8,44703,3948,58929,6047
